"superkingdom","phylum","class","order","family","genus","species"
"Eukaryota","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Helicosporidium","Helicosporidium sp. ex Simulium jonesi"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Cylindrobasidium",NA
NA,NA,NA,NA,NA,NA,NA
"Eukaryota",NA,NA,"Thaumatomonadida","Metromonadea",NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Apicomplexa",NA,NA,NA,NA,"uncultured apicomplexan"
"Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chloromonas","Chloromonas augustae"
"Eukaryota","Basidiomycota",NA,NA,NA,NA,"uncultured Basidiomycota"
"Eukaryota","Cryptomycota",NA,NA,NA,"Paramicrosporidium","Paramicrosporidium saccamoebae"
"Eukaryota","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma","Piskurozyma fildesensis"
"Eukaryota","Ascomycota",NA,NA,NA,NA,NA
"Eukaryota","Chytridiomycota","Chytridiomycetes",NA,NA,NA,NA
"Eukaryota","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Gymnosporangium","Gymnosporangium sabinae"
"Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales","Haematococcaceae","Haematococcus","Haematococcus lacustris"
"Eukaryota",NA,NA,NA,NA,NA,NA
"Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","Cryothecomonas sp. APCC MC5-1Cryo"
"Eukaryota","Chytridiomycota","Chytridiomycetes","Lobulomycetales",NA,NA,"Lobulomycetales sp."
"Eukaryota","Nematoda","Chromadorea","Plectida","Plectidae","Plectus",NA
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor racemosus"
"Eukaryota","Chlorophyta","Chlorophyceae","Chaetophorales","Chaetophoraceae","Chaetophoropsis","Chaetophoropsis aershanensis"
"Eukaryota","Chytridiomycota",NA,NA,NA,NA,"Chytridiomycota sp. LLME1_1 PML-2011i"
"Eukaryota",NA,NA,NA,NA,NA,"uncultured soil eukaryote"
"Eukaryota","Streptophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum"
"Eukaryota","Basidiomycota",NA,NA,NA,NA,"uncultured Basidiomycota"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Cryptomycota",NA,NA,NA,"Paramicrosporidium","Paramicrosporidium saccamoebae"
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria",NA
"Eukaryota",NA,"Xanthophyceae","Tribonematales","Tribonemataceae","Tribonema","Tribonema aequale"
"Eukaryota",NA,NA,NA,"Colpodellaceae","Colpodella","Colpodella angusta"
"Eukaryota","Chytridiomycota","Chytridiomycetes","Cladochytriales","Nowakowskiellaceae","Nowakowskiella",NA
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","Trebouxia asymmetrica"
"Eukaryota","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas sp. HFCC556"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus lyococcus"
"Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae",NA,NA
"Eukaryota","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium sp. CBS 8913"
"Eukaryota","Mucoromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Gigaspora","Gigaspora margarita"
"Eukaryota",NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus"
"Eukaryota","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon cavernicola"
"Eukaryota","Basidiomycota","Pucciniomycetes","Pucciniales",NA,NA,NA
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus"
"Eukaryota",NA,"Oomycota","Leptomitales",NA,"Leptomitus","Leptomitus lacteus"
"Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia",NA
"Eukaryota","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces",NA
"Eukaryota",NA,NA,NA,NA,NA,"fungal sp. I12F-02276"
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae",NA,NA
"Eukaryota","Cercozoa",NA,"Cercomonadida","Guttulinopsidae","Rosculus","Rosculus sp. GAS-2018e"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Pterulaceae","Deflexula","Deflexula secundiramea"
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Lichtheimia","Lichtheimia corymbifera"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota",NA,NA,NA,NA,NA,"fungal sp. I12F-02253"
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Gymnopilus",NA
"Eukaryota","Apicomplexa","Conoidasida",NA,NA,NA,"uncultured gregarine"
"Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales","Pleurastraceae","Pleurastrum","Pleurastrum terricola"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota",NA,NA,"Haplotaxida","Megascolecidae","Plutellus",NA
"Eukaryota","Basidiomycota",NA,"Sporidiobolales","Sporidiobolaceae",NA,NA
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolaceae","Stichococcus","Stichococcus bacillaris"
"Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","Trebouxia sp. P-7-Ia"
"Eukaryota",NA,NA,NA,NA,NA,NA
"Eukaryota","Basidiomycota","Tremellomycetes","Trichosporonales",NA,"Pascua","Pascua guehoae"
"Eukaryota","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiaceae","Erythrobasidium",NA
"Eukaryota",NA,NA,NA,NA,NA,"fungal sp. I12F-02282"
"Eukaryota",NA,NA,NA,"Colpodellaceae","Colpodella","Colpodella angusta"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Apicomplexa","Conoidasida",NA,NA,NA,"uncultured gregarine"
"Eukaryota","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","Mrakia aquatica"
"Eukaryota","Mucoromycota",NA,NA,NA,NA,"Mortierellales sp."
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"Eukaryota","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales",NA,NA,"Erythrobasidiales sp. UFMG-AFM168"
"Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales","Pleurastraceae","Pleurastrum","Pleurastrum terricola"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota",NA,NA,NA,NA,NA,"uncultured soil eukaryote"
"Eukaryota","Basidiomycota","Moniliellomycetes","Moniliellales","Moniliellaceae","Moniliella",NA
"Eukaryota",NA,NA,NA,NA,NA,NA
"Eukaryota","Zoopagomycota","Kickxellomycetes","Kickxellales","Kickxellaceae","Coemansia","Coemansia reversa"
"Eukaryota","Basidiomycota",NA,NA,NA,NA,"uncultured Basidiomycota"
"Eukaryota","Basidiomycota","Agaricomycetes","Polyporales","Dacryobolaceae","Postia",NA
"Eukaryota",NA,NA,NA,"Colpodellaceae","Colpodella","Colpodella angusta"
"Eukaryota","Cryptomycota",NA,NA,NA,"Paramicrosporidium","Paramicrosporidium saccamoebae"
"Eukaryota","Basidiomycota","Exobasidiomycetes","Microstromatales",NA,"Pseudomicrostroma","Pseudomicrostroma juglandis"
"Eukaryota",NA,"Chrysophyceae","Chromulinales","Chromulinaceae","Pedospumella","Pedospumella sp."
"Eukaryota","Cercozoa",NA,NA,NA,"Gymnophrys","Gymnophrys sp. ATCC 50923"
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitocella","Clitocella fallax"
"Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella histoplasmatoides"
"Eukaryota","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus sp. CBS 10173"
"Eukaryota",NA,"Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium heterostriatum"
"Eukaryota",NA,NA,NA,"Colpodellaceae","Colpodella","Colpodella angusta"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces",NA
"Eukaryota",NA,NA,NA,NA,NA,"uncultured soil eukaryote"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota",NA,NA,NA,NA,NA,"uncultured alveolate"
"Eukaryota","Basidiomycota","Microbotryomycetes",NA,NA,NA,NA
"Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula diobovata"
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae",NA,NA
"Eukaryota","Cercozoa",NA,"Cercomonadida","Guttulinopsidae","Rosculus","Rosculus sp. GAS-2018e"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Chytridiomycota","Chytridiomycetes",NA,NA,"Catenomyces","Catenomyces persicinus"
"Eukaryota","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas sp. HFCC540"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Phellinus","Phellinus austrosinensis"
"Eukaryota","Microsporidia",NA,NA,NA,"Mitosporidium","Mitosporidium daphniae"
"Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas noctigama"
"Eukaryota","Chytridiomycota","Chytridiomycetes","Rhizophydiales",NA,"Operculomyces","Operculomyces laminatus"
"Eukaryota","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema","Papiliotrema laurentii"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Cercozoa",NA,"Cercomonadida","Guttulinopsidae","Rosculus","Rosculus sp. GAS-2018e"
"Eukaryota","Cryptomycota",NA,NA,NA,"Paramicrosporidium","Paramicrosporidium saccamoebae"
"Eukaryota","Basidiomycota",NA,NA,NA,NA,NA
"Eukaryota","Basidiomycota",NA,NA,NA,NA,"uncultured Basidiomycota"
"Eukaryota","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolaceae","Stichococcus","Stichococcus bacillaris"
"Eukaryota","Basidiomycota","Agaricomycetes","Boletales","Tapinellaceae","Tapinella","Tapinella panuoides"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Cercozoa",NA,NA,NA,NA,"Cercozoa sp. CC-2009d"
"Eukaryota",NA,NA,NA,"Colpodellaceae","Colpodella","Colpodella angusta"
"Eukaryota","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Cercomonas",NA
"Eukaryota",NA,NA,NA,NA,NA,"uncultured soil eukaryote"
"Eukaryota","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella","Kwoniella shivajii"
"Eukaryota","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus sp. HM-CL4"
"Eukaryota","Microsporidia",NA,NA,NA,"Mitosporidium","Mitosporidium daphniae"
"Eukaryota",NA,NA,NA,NA,NA,"uncultured soil eukaryote"
"Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Bracteacoccaceae","Bracteacoccus","Bracteacoccus giganteus"
"Eukaryota","Cercozoa",NA,"Glissomonadida","Viridiraptoridae","Bodomorpha","Bodomorpha sp. HFCC57"
"Eukaryota","Annelida","Clitellata","Haplotaxida","Megascolecidae","Plutellus","Plutellus sp. 2 PK-2012"
"Eukaryota","Apicomplexa",NA,NA,NA,NA,"uncultured apicomplexan"
"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Hammondia","Hammondia triffittae"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum stercoricanis"
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor mucedo"
"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Toxoplasma","Toxoplasma gondii"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptacetobacter","Peptacetobacter hiranonis"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella sp. L34"
"Eukaryota","Parabasalia",NA,"Trichomonadida","Trichomonadidae","Pentatrichomonas","Pentatrichomonas hominis"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","Cryptosporidium struthionis"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp."
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
NA,NA,NA,NA,NA,NA,NA
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA
"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Cystoisospora",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella",NA
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",NA
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Kodamaea","[Candida] suecica"
"Eukaryota","Platyhelminthes","Trematoda","Opisthorchiida","Opisthorchiidae",NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae","Cystoisospora",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Phycomycetaceae","Phycomyces","Phycomyces blakesleeanus"
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Pilaira","Pilaira anomala"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"Eukaryota","Platyhelminthes","Trematoda","Diplostomida","Diplostomidae","Alaria","Alaria alata"
"Eukaryota",NA,NA,NA,"Colpodellaceae",NA,"Colpodellidae sp. HEP"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella copri"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum stercoricanis"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","Pasteurella canis"
"Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Eukaryota","Platyhelminthes","Trematoda","Diplostomida","Diplostomidae","Alaria","Alaria alata"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Yarrowia","Yarrowia sp. TFM01"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Gregarinidae","Gregarina","Gregarina cloptoni"
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae",NA,NA
"Eukaryota","Platyhelminthes","Cestoda","Cyclophyllidea","Mesocestoididae","Mesocestoides",NA
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum stercoricanis"
"Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus haemoglobinophilus"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Pilaira","Pilaira anomala"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia aff. pulcherrima"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus garvieae"
"Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae",NA,NA
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Yarrowia","Yarrowia lipolytica"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Eukaryota",NA,NA,NA,NA,NA,"uncultured alveolate"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Stenophoridae","Stenophora","Stenophora robusta"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp."
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Eukaryota",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Rhizomucor","Rhizomucor pusillus"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA
"Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor mucedo"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gulae"
"Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Leidyanidae","Leidyana","Leidyana erratica"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",NA
"Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Gregarinidae","Gregarina","Gregarina tropica"
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia",NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA
"Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida",NA,NA,"uncultured Gregarina"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paraclostridium",NA
NA,NA,NA,NA,NA,NA,NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured Bacteroides sp."
"Eukaryota",NA,NA,NA,"Colpodellaceae","Colpodella",NA
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella sp. L34"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum stercoricanis"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured Bacteroides sp."
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli"
"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum candidum"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella sp. L34"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,"Phocaeicola","Phocaeicola plebeius"
"Eukaryota",NA,NA,NA,NA,NA,NA
"Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Stenophoridae","Stenophora","Stenophora robusta"
"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XIII. Incertae Sedis","Ihubacter",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella",NA
"Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"Eukaryota","Apicomplexa",NA,NA,NA,NA,"Apicomplexa sp. 1 KCW-2013"
NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Frederiksenia",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella",NA
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella tanakaei"
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Eukaryota","Nematoda","Chromadorea","Rhabditida",NA,NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,"Phocaeicola","Phocaeicola plebeius"
NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida",NA,NA,NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","[Clostridium] spiroforme"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,"Bacteroidales bacterium R61"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecigallinarum"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",NA
"Eukaryota","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"Eukaryota","Streptophyta","Zygnemophyceae","Desmidiales","Desmidiaceae","Cosmarium","Cosmarium tenue"
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA
"Eukaryota","Basidiomycota","Tremellomycetes","Holtermanniales",NA,NA,NA
"Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured Bacteroides sp."
